店舗ID: 17001392, いきいき亭 近江町店, 金沢市 / 海鮮丼、寿司、海鮮, 評価：3.53, 口コミ：935件
店舗ID: 17000911, もりもり寿し 近江町店, 金沢市 / 回転寿司、寿司, 評価：3.49, 口コミ：1358件
店舗ID: 17004576, 近江町・海鮮市場料理 市の蔵, 金沢市 / 居酒屋、海鮮、かに, 評価：3.48, 口コミ：451件
店舗ID: 17004296, 旬彩和食 口福, 金沢市 / 海鮮、かに、ちゃんこ鍋, 評価：3.48, 口コミ：387件
店舗ID: 17000046, 近江町食堂, 金沢市 / 海鮮、海鮮丼、居酒屋, 評価：3.47, 口コミ：384件
店舗ID: 17000047, 刺身屋, 金沢市 / 海鮮、海鮮丼、居酒屋, 評価：3.47, 口コミ：368件
店舗ID: 17005471, 近江町海鮮丼家ひら井 いちば館店, 金沢市 / 海鮮、海鮮丼、日本料理, 評価：3.46, 口コミ：267件
店舗ID: 17004297, 川木商店, 金沢市 / 惣菜・デリ、うなぎ、どじょう, 評価：3.44, 口コミ：185件
店舗ID: 17009851, 忠村水産 小売部, 金沢市 / 海鮮, 評価：3.42, 口コミ：111件
店舗ID: 17006997, 潮屋 近江町いちば店, 金沢市 / 海鮮, 評価：3.42, 口コミ：110件
店舗ID: 17009254, フルーツ坂野, 金沢市 / ジューススタンド、フルーツパーラー, 評価：3.41, 口コミ：152件
店舗ID: 17010602, すゞめ 近江町市場店, 金沢市 / 大福、和菓子, 評価：3.41, 口コミ：94件
店舗ID: 17011248, 百萬商店, 金沢市 / ビアバー, 評価：3.41, 口コミ：76件
店舗ID: 17009347, 鮮彩えにし, 金沢市 / 海鮮、寿司、海鮮丼, 評価：3.38, 口コミ：128件
店舗ID: 17009791, みなみ, 金沢市 / 日本料理、その他, 評価：3.37, 口コミ：52件
店舗ID: 17004583, 近江屋 伝兵衛, 金沢市 / 寿司、海鮮、日本料理, 評価：3.36, 口コミ：120件
店舗ID: 17001113, 仙桃, 金沢市 / 中華料理, 評価：3.34, 口コミ：72件
店舗ID: 17011216, 能登牛たくみ, 金沢市 / 牛料理, 評価：3.3, 口コミ：87件
店舗ID: 17006533, カレーのチャンピオン 近江町店, 金沢市 / カレー、とんかつ、コロッケ, 評価：3.27, 口コミ：306件
店舗ID: 17004637, 二六, 金沢市 / 豆腐料理、ソフトクリーム, 評価：3.22, 口コミ：40件
店舗ID: 17005175, みやむら, 金沢市 / 惣菜・デリ、うなぎ、どじょう, 評価：3.22, 口コミ：30件
店舗ID: 17001556, 近江町市場　杉本水産 近江町店, 金沢市 / 惣菜・デリ、海鮮, 評価：3.21, 口コミ：31件
店舗ID: 17011164, 清商店, 金沢市 / 海鮮, 評価：3.19, 口コミ：23件
店舗ID: 17013653, 金沢おでん 地酒地魚 新近江町商店, 金沢市 / 居酒屋, 評価：3.19, 口コミ：22件
店舗ID: 17009253, 新力水産, 金沢市 / うなぎ、どじょう, 評価：3.18, 口コミ：47件
店舗ID: 17014006, PETRA BAKE&COFFEE, 金沢市 / カフェ、洋菓子, 評価：3.17, 口コミ：19件
店舗ID: 17014718, 近江町ラーメン, 金沢市 / ラーメン, 評価：3.12, 口コミ：21件
店舗ID: 17004621, 近江町こだわり玉子 だし巻屋, 金沢市 / 日本料理, 評価：3.11, 口コミ：18件
店舗ID: 17009360, みなと屋, 金沢市 / ラーメン, 評価：3.1, 口コミ：31件
店舗ID: 17004295, のざきの焼魚, 金沢市 / うなぎ、海鮮、串焼き, 評価：3.09, 口コミ：50件
店舗ID: 17012225, あげ丸天かさい, 金沢市 / 揚げ物, 評価：3.08, 口コミ：24件
店舗ID: 17005933, 麺丼や, 金沢市 / うどん、かつ丼, 評価：3.08, 口コミ：19件
店舗ID: 17008784, 鳥由, 金沢市 / 惣菜・デリ, 評価：3.08, 口コミ：7件
店舗ID: 17007667, 高川物産, 金沢市 / その他, 評価：3.07, 口コミ：17件
店舗ID: 17007108, 手押し棒鮨 舟楽 近江町いちば館店, 金沢市 / 棒寿司、寿司, 評価：3.06, 口コミ：10件
店舗ID: 17013389, 近江町横丁, 金沢市 / 居酒屋、海鮮、おでん, 評価：3.06, 口コミ：9件
店舗ID: 17008089, ミスタードーナツ 金沢武蔵ショップ, 金沢市 / カフェ、ドーナツ, 評価：3.05, 口コミ：31件
店舗ID: 17004634, 良縁堂　茶楽, 金沢市 / その他, 評価：3.05, 口コミ：9件
店舗ID: 17011445, ヤマカ水産 近江町店, 金沢市 / その他, 評価：3.05, 口コミ：9件
店舗ID: 17005450, 市安商店, 金沢市 / ジューススタンド, 評価：3.05, 口コミ：4件
店舗ID: 17008887, ヤマカ水産 新通り店, 金沢市 / その他、寿司, 評価：3.04, 口コミ：6件
店舗ID: 17015500, 炭火串焼き・鶏料理 八千屋 近江町市場店, 金沢市 / 居酒屋、焼き鳥、おでん, 評価：3.04, 口コミ：3件
店舗ID: 17014907, THE TEA SHOP CHANOMI 近江町市場2号店, 金沢市 / カフェ, 評価：3.04, 口コミ：3件
店舗ID: 17014490, 宇奈とと 近江町市場店, 金沢市 / うなぎ, 評価：3.03, 口コミ：9件
店舗ID: 17011865, 能登牛炙り海鮮丼, 金沢市 / 丼、海鮮, 評価：3.03, 口コミ：4件
店舗ID: 17008888, 海道物産 海藻ライフ店, 金沢市 / その他, 評価：3.03, 口コミ：2件
店舗ID: 17011330, 牧果実店, 金沢市 / フルーツパーラー, 評価：3.02, 口コミ：2件
店舗ID: 17014371, 寿美田今川焼, 金沢市 / たい焼き・大判焼き, 評価：3.02, 口コミ：1件
店舗ID: 17013212, 炙りのど黒といしる飯, 金沢市 / 海鮮丼, 評価：3.02, 口コミ：1件
店舗ID: 17009942, 北形青果 近江町本店, 金沢市 / その他, 評価：3.01, 口コミ：3件
店舗ID: 17011728, 蒲富士食品株式会社 金沢近江町市場直営店, 金沢市 / その他, 評価：3.01, 口コミ：2件
店舗ID: 17015129, 金沢どら焼き堂, 金沢市 / 和菓子、スイーツ, 評価：3.0, 口コミ：6件
店舗ID: 17014592, 徳一商店, 金沢市 / その他, 評価：3.0, 口コミ：2件
店舗ID: 17010973, フルーツきたむら, 金沢市 / その他, 評価：3.0, 口コミ：1件
店舗ID: 17012885, 北川食品 近江町店, 金沢市 / その他, 評価：0.0, 口コミ：2件
店舗ID: 17013776, 天狗中田 青草町店, 金沢市 / その他, 評価：0.0, 口コミ：1件
店舗ID: 17012653, 中屋食品 近江町市場店, 金沢市 / その他, 評価：0.0, 口コミ：1件
店舗ID: 17013386, マツモトキヨシ 近江町店, 金沢市 / その他, 評価：0.0, 口コミ：1件
店舗ID: 17005186, みなせん 近江町店, 金沢市 / お好み焼き, 評価：0.0, 口コミ： - 件
店舗ID: 17004631, だし茶漬　だいあん, 金沢市 / 日本料理, 評価：0.0, 口コミ： - 件
店舗ID: 17015135, なんぼ商店, 金沢市 / 売店, 評価：0.0, 口コミ： - 件
店舗ID: 17006803, 御菓子司　水本, 金沢市 / 和菓子, 評価：3.05, 口コミ：7件
店舗ID: 17012292, おしゃべりcafe めてみみ, 金沢市 / 喫茶店、カフェ, 評価：3.01, 口コミ：2件
店舗ID: 17012786, すし捨 賢坂辻店, 金沢市 / 寿司, 評価：4.69, 口コミ：1件
店舗ID: 17003943, 幌里, 金沢市 / 居酒屋, 評価：4.51, 口コミ： - 件
店舗ID: 17011166, 片折, 金沢市 / 日本料理, 評価：4.32, 口コミ：416件
店舗ID: 17010732, レスピラシオン, 金沢市 / スペイン料理、イノベーティブ、創作料理, 評価：4.3, 口コミ：469件
店舗ID: 17012300, マキノンチ, 金沢市 / フレンチ, 評価：4.28, 口コミ：141件
店舗ID: 17010524, 小松 弥助, 金沢市 / 寿司, 評価：4.27, 口コミ：689件
店舗ID: 17012585, 蛤坂 まえかわ, 金沢市 / 焼き鳥, 評価：4.23, 口コミ：132件
店舗ID: 17000107, 乙女寿司, 金沢市 / 寿司, 評価：4.15, 口コミ：576件
店舗ID: 17015162, 木佐貫, 金沢市 / 日本料理, 評価：4.11, 口コミ：73件
店舗ID: 17009914, Installation Table ENSO L'asymetrie du calme, 金沢市 / フレンチ、イノベーティブ, 評価：4.01, 口コミ：286件
店舗ID: 17009514, 天ぷら 小泉, 金沢市 / 天ぷら, 評価：0.0, 口コミ：173件
店舗ID: 17010062, 鮨 木場谷, 金沢市 / 寿司, 評価：0.0, 口コミ：272件
店舗ID: 17001082, ヤハタすしべん 赤土店, 金沢市 / 寿司、うどん、かつ丼, 評価：3.27, 口コミ：26件
店舗ID: 17008085, いちばん星, 金沢市 / 喫茶店, 評価：4.69, 口コミ： - 件
店舗ID: 17011166, 片折, 金沢市 / 日本料理, 評価：4.51, 口コミ：416件
店舗ID: 17010732, レスピラシオン, 金沢市 / スペイン料理、イノベーティブ、創作料理, 評価：4.32, 口コミ：469件
店舗ID: 17012300, マキノンチ, 金沢市 / フレンチ, 評価：4.3, 口コミ：141件
店舗ID: 17010524, 小松 弥助, 金沢市 / 寿司, 評価：4.28, 口コミ：689件
店舗ID: 17012585, 蛤坂 まえかわ, 金沢市 / 焼き鳥, 評価：4.27, 口コミ：132件
店舗ID: 17000107, 乙女寿司, 金沢市 / 寿司, 評価：4.23, 口コミ：576件
店舗ID: 17015162, 木佐貫, 金沢市 / 日本料理, 評価：4.15, 口コミ：73件
店舗ID: 17009914, Installation Table ENSO L'asymetrie du calme, 金沢市 / フレンチ、イノベーティブ, 評価：4.11, 口コミ：286件
店舗ID: 17009514, 天ぷら 小泉, 金沢市 / 天ぷら, 評価：4.01, 口コミ：173件
店舗ID: 17010062, 鮨 木場谷, 金沢市 / 寿司, 評価：0.0, 口コミ：272件
店舗ID: 17015443, cafe en., 金沢市 / カフェ, 評価：3.02, 口コミ：1件
店舗ID: 17011156, メルカート, 金沢市 / カフェ, 評価：4.69, 口コミ：2件
店舗ID: 17010076, 焼肉グリル＆バー ビコロ, 金沢市 / 焼肉, 評価：4.51, 口コミ： - 件
店舗ID: 17011166, 片折, 金沢市 / 日本料理, 評価：4.32, 口コミ：416件
店舗ID: 17010732, レスピラシオン, 金沢市 / スペイン料理、イノベーティブ、創作料理, 評価：4.3, 口コミ：469件
店舗ID: 17012300, マキノンチ, 金沢市 / フレンチ, 評価：4.28, 口コミ：141件
店舗ID: 17010524, 小松 弥助, 金沢市 / 寿司, 評価：4.27, 口コミ：689件
店舗ID: 17012585, 蛤坂 まえかわ, 金沢市 / 焼き鳥, 評価：4.23, 口コミ：132件
店舗ID: 17000107, 乙女寿司, 金沢市 / 寿司, 評価：4.15, 口コミ：576件
店舗ID: 17015162, 木佐貫, 金沢市 / 日本料理, 評価：4.11, 口コミ：73件
店舗ID: 17009914, Installation Table ENSO L'asymetrie du calme, 金沢市 / フレンチ、イノベーティブ, 評価：4.01, 口コミ：286件
店舗ID: 17009514, 天ぷら 小泉, 金沢市 / 天ぷら, 評価：0.0, 口コミ：173件
店舗ID: 17010062, 鮨 木場谷, 金沢市 / 寿司, 評価：0.0, 口コミ：272件
店舗ID: 17002595, 龍苑, 金沢市 / 飲茶・点心、中華料理, 評価：3.4, 口コミ：95件
店舗ID: 17013762, 焼肉 アダン, 金沢市 / 焼肉、ホルモン, 評価：3.16, 口コミ：11件
店舗ID: 17010224, 旬食彩酒 とのまち, 金沢市 / 日本料理、かに, 評価：3.09, 口コミ：17件
店舗ID: 17010806, 焼肉 koba 浅野本町店, 金沢市 / 焼肉、ホルモン、居酒屋, 評価：3.04, 口コミ：9件
店舗ID: 17013397, 焼肉ホルモン 牛に恋したブタ野郎, 金沢市 / 焼肉、ホルモン, 評価：3.04, 口コミ：5件
店舗ID: 17014990, 岩本屋 金沢浅野本町店, 金沢市 / ラーメン, 評価：3.01, 口コミ：8件
店舗ID: 17014800, AZ-EATS, 金沢市 / ソフトクリーム、かき氷, 評価：3.0, 口コミ：1件
店舗ID: 17011166, 片折, 金沢市 / 日本料理, 評価：4.69, 口コミ：416件
店舗ID: 17010732, レスピラシオン, 金沢市 / スペイン料理、イノベーティブ、創作料理, 評価：4.51, 口コミ：469件
店舗ID: 17012300, マキノンチ, 金沢市 / フレンチ, 評価：4.32, 口コミ：141件
店舗ID: 17010524, 小松 弥助, 金沢市 / 寿司, 評価：4.3, 口コミ：689件
店舗ID: 17012585, 蛤坂 まえかわ, 金沢市 / 焼き鳥, 評価：4.28, 口コミ：132件
店舗ID: 17000107, 乙女寿司, 金沢市 / 寿司, 評価：4.27, 口コミ：576件
店舗ID: 17015162, 木佐貫, 金沢市 / 日本料理, 評価：4.23, 口コミ：73件
店舗ID: 17009914, Installation Table ENSO L'asymetrie du calme, 金沢市 / フレンチ、イノベーティブ, 評価：4.15, 口コミ：286件
店舗ID: 17009514, 天ぷら 小泉, 金沢市 / 天ぷら, 評価：4.11, 口コミ：173件
店舗ID: 17010062, 鮨 木場谷, 金沢市 / 寿司, 評価：4.01, 口コミ：272件
店舗ID: 17014074, 士朗商店, 金沢市 / ラーメン, 評価：3.41, 口コミ：55件
店舗ID: 17000002, マスタム, 金沢市 / 中華料理, 評価：3.18, 口コミ：22件
店舗ID: 17001872, かみたに, 金沢市 / 焼肉, 評価：3.14, 口コミ：17件
店舗ID: 17005168, 御菓子処 美福 本店, 金沢市 / 和菓子, 評価：3.11, 口コミ：12件
店舗ID: 17000511, レ・サヴール, 金沢市 / フレンチ, 評価：3.08, 口コミ：15件
店舗ID: 17007038, ホープハウス, 金沢市 / カフェ、ヨーロッパ料理, 評価：3.04, 口コミ：6件
店舗ID: 17007765, 楽らく, 金沢市 / 肉料理, 評価：3.02, 口コミ：3件
店舗ID: 17005878, 安兵衛寿司, 金沢市 / 寿司, 評価：3.01, 口コミ：2件
店舗ID: 17005985, サニー, 金沢市 / 喫茶店, 評価：3.0, 口コミ：1件
店舗ID: 17014018, まるひろ屋, 金沢市 / その他, 評価：0.0, 口コミ： - 件
店舗ID: 17004538, 葡萄苑, 金沢市 / 喫茶店, 評価：0.0, 口コミ： - 件
店舗ID: 17014529, 鮨 逢, 金沢市 / 寿司, 評価：3.19, 口コミ：10件
店舗ID: 17014398, テーラー喜多, 金沢市 / その他, 評価：4.69, 口コミ： - 件
店舗ID: 17011166, 片折, 金沢市 / 日本料理, 評価：4.51, 口コミ：416件
店舗ID: 17010732, レスピラシオン, 金沢市 / スペイン料理、イノベーティブ、創作料理, 評価：4.32, 口コミ：469件
店舗ID: 17012300, マキノンチ, 金沢市 / フレンチ, 評価：4.3, 口コミ：141件
店舗ID: 17010524, 小松 弥助, 金沢市 / 寿司, 評価：4.28, 口コミ：689件
店舗ID: 17012585, 蛤坂 まえかわ, 金沢市 / 焼き鳥, 評価：4.27, 口コミ：132件
店舗ID: 17000107, 乙女寿司, 金沢市 / 寿司, 評価：4.23, 口コミ：576件
店舗ID: 17015162, 木佐貫, 金沢市 / 日本料理, 評価：4.15, 口コミ：73件
店舗ID: 17009914, Installation Table ENSO L'asymetrie du calme, 金沢市 / フレンチ、イノベーティブ, 評価：4.11, 口コミ：286件
店舗ID: 17009514, 天ぷら 小泉, 金沢市 / 天ぷら, 評価：4.01, 口コミ：173件
店舗ID: 17010062, 鮨 木場谷, 金沢市 / 寿司, 評価：0.0, 口コミ：272件
店舗ID: 17002777, 南膳, 金沢市 / 居酒屋, 評価：3.03, 口コミ：3件
店舗ID: 17011166, 片折, 金沢市 / 日本料理, 評価：4.69, 口コミ：416件
店舗ID: 17010732, レスピラシオン, 金沢市 / スペイン料理、イノベーティブ、創作料理, 評価：4.51, 口コミ：469件
店舗ID: 17012300, マキノンチ, 金沢市 / フレンチ, 評価：4.32, 口コミ：141件
店舗ID: 17010524, 小松 弥助, 金沢市 / 寿司, 評価：4.3, 口コミ：689件
店舗ID: 17012585, 蛤坂 まえかわ, 金沢市 / 焼き鳥, 評価：4.28, 口コミ：132件
店舗ID: 17000107, 乙女寿司, 金沢市 / 寿司, 評価：4.27, 口コミ：576件
店舗ID: 17015162, 木佐貫, 金沢市 / 日本料理, 評価：4.23, 口コミ：73件
店舗ID: 17009914, Installation Table ENSO L'asymetrie du calme, 金沢市 / フレンチ、イノベーティブ, 評価：4.15, 口コミ：286件
店舗ID: 17009514, 天ぷら 小泉, 金沢市 / 天ぷら, 評価：4.11, 口コミ：173件
店舗ID: 17010062, 鮨 木場谷, 金沢市 / 寿司, 評価：4.01, 口コミ：272件
店舗ID: 17002724, 麺や　福座, 金沢市 / ラーメン、つけ麺, 評価：3.66, 口コミ：427件
店舗ID: 17011536, ごえちゃんらーめん, 金沢市 / ラーメン, 評価：3.33, 口コミ：52件
